Date,Fish_Type,Supply_Kg,Price_Per_Kg,Fuel_price,Ice_price_per_block,,,
2025/1/21,Tulingan (Frigate Tuna),473 kg,360,60.35,160,,,
2025/1/22,Alumahan (Striped Mackerel),"1,205 kg",210,60.35,160,,,
2025/1/22,Bangus (Milk Fish),42 kg,210,60.35,160,,,
2025/1/22,Bariles (Yellow Fin Tuna),384 kg,260,60.35,160,,,
2025/1/22,Culisi (Nemipterid),"2,181 kg",133,60.35,160,,,
2025/1/22,Galunggong (Round Scad),975 kg,210,60.35,160,,,
2025/1/22,Gulyasan or puyan (Skipjack tuna),229 kg,210,60.35,160,,,
2025/1/22,Lapu-lapu (Grouper),73 kg,290,60.35,160,,,
2025/1/22,Malasugi (Blue Marlin),829 Kg,310,60.35,160,,,
2025/1/22,Matang Baka (Big-eyed Scads),"1,685 kg",260,60.35,160,,,
2025/1/22,Maya-maya (Snapper),23 kg,360,60.35,160,,,
2025/1/22,Mulmul (Parrot Fish),17 kg,210,60.35,160,,,
2025/1/22,Samaral (Siganid),67 kg,230,60.35,160,,,
2025/1/22,Talakitok (Crevalle),91 kg,290,60.35,160,,,
2025/1/22,Tamban (Indian Sardines),"4,716 kg",110,60.35,160,,,
2025/1/22,Sting Ray,249 Kg,110,60.35,160,,,
2025/1/22,Tanguigue (Spanish Mackerel),279 Kg,310,60.35,160,,,
2025/1/22,Tulingan (Frigate Tuna),473 kg,360,60.35,160,,,
2025/1/23,Alumahan (Striped Mackerel),"1,205 kg",210,60.35,160,,,
2025/1/23,Bangus (Milk Fish),42 kg,210,60.35,160,,,
2025/1/23,Bariles (Yellow Fin Tuna),384 kg,260,60.35,160,,,
2025/1/23,Culisi (Nemipterid),"2,181 kg",133,60.35,160,,,
2025/1/23,Galunggong (Round Scad),975 kg,210,60.35,160,,,
2025/1/23,Gulyasan or puyan (Skipjack tuna),229 kg,210,60.35,160,,,
2025/1/23,Lapu-lapu (Grouper),73 kg,290,60.35,160,,,
2025/1/23,Malasugi (Blue Marlin),829 Kg,310,60.35,160,,,
2025/1/23,Matang Baka (Big-eyed Scads),"1,685 kg",260,60.35,160,,,
2025/1/23,Maya-maya (Snapper),23 kg,360,60.35,160,,,
2025/1/23,Mulmul (Parrot Fish),17 kg,210,60.35,160,,,
2025/1/23,Samaral (Siganid),67 kg,230,60.35,160,,,
2025/1/23,Talakitok (Crevalle),91 kg,290,60.35,160,,,
2025/1/23,Tamban (Indian Sardines),"4,716 kg",110,60.35,160,,,
2025/1/23,Sting Ray,249 Kg,110,60.35,160,,,
2025/1/23,Tanguigue (Spanish Mackerel),279 Kg,310,60.35,160,,,
2025/1/23,Tulingan (Frigate Tuna),473 kg,360,60.35,160,,,
2025/1/24,Alumahan (Striped Mackerel),"1,205 kg",210,60.35,160,,,
2025/1/24,Bangus (Milk Fish),42 kg,210,60.35,160,,,
2025/1/24,Bariles (Yellow Fin Tuna),384 kg,260,60.35,160,,,
2025/1/24,Culisi (Nemipterid),"2,181 kg",133,60.35,160,,,
2025/1/24,Galunggong (Round Scad),975 kg,210,60.35,160,,,
2025/1/24,Gulyasan or puyan (Skipjack tuna),229 kg,210,60.35,160,,,
2025/1/24,Lapu-lapu (Grouper),73 kg,290,60.35,160,,,
2025/1/24,Malasugi (Blue Marlin),829 Kg,310,60.35,160,,,
2025/1/24,Matang Baka (Big-eyed Scads),"1,685 kg",260,60.35,160,,,
2025/1/24,Maya-maya (Snapper),23 kg,360,60.35,160,,,
2025/1/24,Mulmul (Parrot Fish),17 kg,210,60.35,160,,,
2025/1/24,Samaral (Siganid),67 kg,230,60.35,160,,,
2025/1/24,Talakitok (Crevalle),91 kg,290,60.35,160,,,
2025/1/24,Tamban (Indian Sardines),"4,716 kg",110,60.35,160,,,
2025/1/24,Sting Ray,249 Kg,110,60.35,160,,,
2025/1/24,Tanguigue (Spanish Mackerel),279 Kg,310,60.35,160,,,
2025/1/24,Tulingan (Frigate Tuna),473 kg,360,60.35,160,,,
2025/1/25,Alumahan (Striped Mackerel),"1,205 kg",210,60.35,160,,,
2025/1/25,Bangus (Milk Fish),42 kg,210,60.35,160,,,
2025/1/25,Bariles (Yellow Fin Tuna),384 kg,260,60.35,160,,,
2025/1/25,Culisi (Nemipterid),"2,181 kg",133,60.35,160,,,
2025/1/25,Galunggong (Round Scad),975 kg,210,60.35,160,,,
2025/1/25,Gulyasan or puyan (Skipjack tuna),229 kg,210,60.35,160,,,
2025/1/25,Lapu-lapu (Grouper),73 kg,290,60.35,160,,,
2025/1/25,Malasugi (Blue Marlin),829 Kg,310,60.35,160,,,
2025/1/25,Matang Baka (Big-eyed Scads),"1,685 kg",260,60.35,160,,,
2025/1/25,Maya-maya (Snapper),23 kg,360,60.35,160,,,
2025/1/25,Mulmul (Parrot Fish),17 kg,210,60.35,160,,,
2025/1/25,Samaral (Siganid),67 kg,230,60.35,160,,,
2025/1/25,Talakitok (Crevalle),91 kg,290,60.35,160,,,
2025/1/25,Tamban (Indian Sardines),"4,716 kg",110,60.35,160,,,
2025/1/25,Sting Ray,249 Kg,110,60.35,160,,,
2025/1/25,Tanguigue (Spanish Mackerel),279 Kg,310,60.35,160,,,
2025/1/25,Tulingan (Frigate Tuna),473 kg,360,60.35,160,,,
2025/1/26,Alumahan (Striped Mackerel),"1,205 kg",190,60.35,160,,,
2025/1/26,Bangus (Milk Fish),42 kg,190,60.35,160,,,
2025/1/26,Bariles (Yellow Fin Tuna),384 kg,240,60.35,160,,,
2025/1/26,Culisi (Nemipterid),"2,181 kg",113,60.35,160,,,
2025/1/26,Galunggong (Round Scad),975 kg,190,60.35,160,,,
2025/1/26,Gulyasan or puyan (Skipjack tuna),229 kg,190,60.35,160,,,
2025/1/26,Lapu-lapu (Grouper),73 kg,270,60.35,160,,,
2025/1/26,Malasugi (Blue Marlin),829 Kg,290,60.35,160,,,
2025/1/26,Matang Baka (Big-eyed Scads),"1,685 kg",240,60.35,160,,,
2025/1/26,Maya-maya (Snapper),23 kg,340,60.35,160,,,
2025/1/26,Mulmul (Parrot Fish),17 kg,190,60.35,160,,,
2025/1/26,Samaral (Siganid),67 kg,210,60.35,160,,,
2025/1/26,Talakitok (Crevalle),91 kg,270,60.35,160,,,
2025/1/26,Tamban (Indian Sardines),"4,716 kg",90,60.35,160,,,
2025/1/26,Sting Ray,249 Kg,90,60.35,160,,,
2025/1/26,Tanguigue (Spanish Mackerel),279 Kg,290,60.35,160,,,
2025/1/26,Tulingan (Frigate Tuna),473 kg,340,60.35,160,,,
2025/1/27,Alumahan (Striped Mackerel),"1,205 kg",190,60.35,160,,,
2025/1/27,Bangus (Milk Fish),42 kg,190,60.35,160,,,
2025/1/27,Bariles (Yellow Fin Tuna),384 kg,240,60.35,160,,,
2025/1/27,Culisi (Nemipterid),"2,181 kg",113,60.35,160,,,
2025/1/27,Galunggong (Round Scad),975 kg,190,60.35,160,,,
2025/1/27,Gulyasan or puyan (Skipjack tuna),229 kg,190,60.35,160,,,
2025/1/27,Lapu-lapu (Grouper),73 kg,270,60.35,160,,,
2025/1/27,Malasugi (Blue Marlin),829 Kg,290,60.35,160,,,
2025/1/27,Matang Baka (Big-eyed Scads),"1,685 kg",240,60.35,160,,,
2025/1/27,Maya-maya (Snapper),23 kg,340,60.35,160,,,
2025/1/27,Mulmul (Parrot Fish),17 kg,190,60.35,160,,,
2025/1/27,Samaral (Siganid),67 kg,210,60.35,160,,,
2025/1/27,Talakitok (Crevalle),91 kg,270,60.35,160,,,
2025/1/27,Tamban (Indian Sardines),"4,716 kg",90,60.35,160,,,
2025/1/27,Sting Ray,249 Kg,90,60.35,160,,,
2025/1/27,Tanguigue (Spanish Mackerel),279 Kg,290,60.35,160,,,
2025/1/27,Tulingan (Frigate Tuna),473 kg,340,60.35,160,,,
2025/1/28,Alumahan (Striped Mackerel),"1,205 kg",190,57.85,160,,,
2025/1/28,Bangus (Milk Fish),42 kg,190,57.85,160,,,
2025/1/28,Bariles (Yellow Fin Tuna),384 kg,240,57.85,160,,,
2025/1/28,Culisi (Nemipterid),"2,181 kg",113,57.85,160,,,
2025/1/28,Galunggong (Round Scad),975 kg,190,57.85,160,,,
2025/1/28,Gulyasan or puyan (Skipjack tuna),229 kg,190,57.85,160,,,
2025/1/28,Lapu-lapu (Grouper),73 kg,270,57.85,160,,,
2025/1/28,Malasugi (Blue Marlin),829 Kg,290,57.85,160,,,
2025/1/28,Matang Baka (Big-eyed Scads),"1,685 kg",240,57.85,160,,,
2025/1/28,Maya-maya (Snapper),23 kg,340,57.85,160,,,
2025/1/28,Mulmul (Parrot Fish),17 kg,190,57.85,160,,,
2025/1/28,Samaral (Siganid),67 kg,210,57.85,160,,,
2025/1/28,Talakitok (Crevalle),91 kg,270,57.85,160,,,
2025/1/28,Tamban (Indian Sardines),"4,716 kg",90,57.85,160,,,
2025/1/28,Sting Ray,249 Kg,90,57.85,160,,,
2025/1/28,Tanguigue (Spanish Mackerel),279 Kg,290,57.85,160,,,
2025/1/28,Tulingan (Frigate Tuna),473 kg,340,57.85,160,,,
2025/1/29,Alumahan (Striped Mackerel),"1,205 kg",190,57.85,160,,,
2025/1/29,Bangus (Milk Fish),42 kg,190,57.85,160,,,
2025/1/29,Bariles (Yellow Fin Tuna),384 kg,240,57.85,160,,,
2025/1/29,Culisi (Nemipterid),"2,181 kg",113,57.85,160,,,
2025/1/29,Galunggong (Round Scad),975 kg,190,57.85,160,,,
2025/1/29,Gulyasan or puyan (Skipjack tuna),229 kg,190,57.85,160,,,
2025/1/29,Lapu-lapu (Grouper),73 kg,270,57.85,160,,,
2025/1/29,Malasugi (Blue Marlin),829 Kg,290,57.85,160,,,
2025/1/29,Matang Baka (Big-eyed Scads),"1,685 kg",240,57.85,160,,,
2025/1/29,Maya-maya (Snapper),23 kg,340,57.85,160,,,
2025/1/29,Mulmul (Parrot Fish),17 kg,190,57.85,160,,,
2025/1/29,Samaral (Siganid),67 kg,210,57.85,160,,,
2025/1/29,Talakitok (Crevalle),91 kg,270,57.85,160,,,
2025/1/29,Tamban (Indian Sardines),"4,716 kg",90,57.85,160,,,
2025/1/29,Sting Ray,249 Kg,90,57.85,160,,,
2025/1/29,Tanguigue (Spanish Mackerel),279 Kg,290,57.85,160,,,
2025/1/29,Tulingan (Frigate Tuna),473 kg,340,57.85,160,,,
2025/1/30,Alumahan (Striped Mackerel),"1,205 kg",190,57.85,160,,,
2025/1/30,Bangus (Milk Fish),42 kg,190,57.85,160,,,
2025/1/30,Bariles (Yellow Fin Tuna),384 kg,240,57.85,160,,,
2025/1/30,Culisi (Nemipterid),"2,181 kg",113,57.85,160,,,
2025/1/30,Galunggong (Round Scad),975 kg,190,57.85,160,,,
2025/1/30,Gulyasan or puyan (Skipjack tuna),229 kg,190,57.85,160,,,
2025/1/30,Lapu-lapu (Grouper),73 kg,270,57.85,160,,,
2025/1/30,Malasugi (Blue Marlin),829 Kg,290,57.85,160,,,
2025/1/30,Matang Baka (Big-eyed Scads),"1,685 kg",240,57.85,160,,,
2025/1/30,Maya-maya (Snapper),23 kg,340,57.85,160,,,
2025/1/30,Mulmul (Parrot Fish),17 kg,190,57.85,160,,,
2025/1/30,Samaral (Siganid),67 kg,210,57.85,160,,, 
2025/1/30,Talakitok (Crevalle),91 kg,270,57.85,160,,,
2025/1/30,Tamban (Indian Sardines),"4,716 kg",90,57.85,160,,,
2025/1/30,Sting Ray,249 Kg,90,57.85,160,,,
2025/1/30,Tanguigue (Spanish Mackerel),279 Kg,290,57.85,160,,,
2025/1/30,Tulingan (Frigate Tuna),473 kg,340,57.85,160,,,
2025/1/31,Alumahan (Striped Mackerel),"1,205 kg",190,57.85,160,,,
2025/1/31,Bangus (Milk Fish),42 kg,190,57.85,160,,,
2025/1/31,Bariles (Yellow Fin Tuna),384 kg,240,57.85,160,,,
2025/1/31,Culisi (Nemipterid),"2,181 kg",113,57.85,160,,,
2025/1/31,Galunggong (Round Scad),975 kg,190,57.85,160,,,
2025/1/31,Gulyasan or puyan (Skipjack tuna),229 kg,190,57.85,160,,,
2025/1/31,Lapu-lapu (Grouper),73 kg,270,57.85,160,,,
2025/1/31,Malasugi (Blue Marlin),829 Kg,290,57.85,160,,,
2025/1/31,Matang Baka (Big-eyed Scads),"1,685 kg",240,57.85,160,,,
2025/1/31,Maya-maya (Snapper),23 kg,340,57.85,160,,,
2025/1/31,Mulmul (Parrot Fish),17 kg,190,57.85,160,,,
2025/1/31,Samaral (Siganid),67 kg,210,57.85,160,,,
2025/1/31,Talakitok (Crevalle),91 kg,270,57.85,160,,,
2025/1/31,Tamban (Indian Sardines),"4,716 kg",90,57.85,160,,,
2025/1/31,Sting Ray,249 Kg,90,57.85,160,,,
2025/1/31,Tanguigue (Spanish Mackerel),279 Kg,290,57.85,160,,,
2025/1/31,Tulingan (Frigate Tuna),473 kg,340,57.85,160,,,
2025/2/1,Alumahan (Striped Mackerel),"1,205 kg",200,57.85,160,,,
2025/2/1,Bangus (Milk Fish),42 kg,200,57.85,160,,,
2025/2/1,Bariles (Yellow Fin Tuna),384 kg,250,57.85,160,,,
2025/2/1,Culisi (Nemipterid),"2,181 kg",123,57.85,160,,,
2025/2/1,Galunggong (Round Scad),975 kg,200,57.85,160,,,
2025/2/1,Gulyasan or puyan (Skipjack tuna),229 kg,200,57.85,160,,,
2025/2/1,Lapu-lapu (Grouper),73 kg,280,57.85,160,,,
2025/2/1,Malasugi (Blue Marlin),829 Kg,300,57.85,160,,,
2025/2/1,Matang Baka (Big-eyed Scads),"1,685 kg",250,57.85,160,,,
2025/2/1,Maya-maya (Snapper),23 kg,350,57.85,160,,,
2025/2/1,Mulmul (Parrot Fish),17 kg,200,57.85,160,,,
2025/2/1,Samaral (Siganid),67 kg,220,57.85,160,,,
2025/2/1,Talakitok (Crevalle),91 kg,280,57.85,160,,,
2025/2/1,Tamban (Indian Sardines),"4,716 kg",100,57.85,160,,,
2025/2/1,Sting Ray,249 Kg,100,57.85,160,,,
2025/2/1,Tanguigue (Spanish Mackerel),279 Kg,300,57.85,160,,,
2025/2/1,Tulingan (Frigate Tuna),473 kg,350,57.85,160,,,
2025/2/2,Alumahan (Striped Mackerel),"1,205 kg",200,57.85,160,,,
2025/2/2,Bangus (Milk Fish),42 kg,200,57.85,160,,,
2025/2/2,Bariles (Yellow Fin Tuna),384 kg,250,57.85,160,,,
2025/2/2,Culisi (Nemipterid),"2,181 kg",123,57.85,160,,,
2025/2/2,Galunggong (Round Scad),975 kg,200,57.85,160,,,
2025/2/2,Gulyasan or puyan (Skipjack tuna),229 kg,200,57.85,160,,,
2025/2/2,Lapu-lapu (Grouper),73 kg,280,57.85,160,,,
2025/2/2,Malasugi (Blue Marlin),829 Kg,300,57.85,160,,,
2025/2/2,Matang Baka (Big-eyed Scads),"1,685 kg",250,57.85,160,,,
2025/2/2,Maya-maya (Snapper),23 kg,350,57.85,160,,,
2025/2/2,Mulmul (Parrot Fish),17 kg,200,57.85,160,,,
2025/2/2,Samaral (Siganid),67 kg,220,57.85,160,,,
2025/2/2,Talakitok (Crevalle),91 kg,280,57.85,160,,,
2025/2/2,Tamban (Indian Sardines),"4,716 kg",100,57.85,160,,,
2025/2/2,Sting Ray,249 Kg,100,57.85,160,,,
2025/2/2,Tanguigue (Spanish Mackerel),279 Kg,300,57.85,160,,,
2025/2/2,Tulingan (Frigate Tuna),473 kg,350,57.85,160,,,
2025/2/3,Alumahan (Striped Mackerel),"1,205 kg",200,57.85,160,,,
2025/2/3,Bangus (Milk Fish),42 kg,200,57.85,160,,,
2025/2/3,Bariles (Yellow Fin Tuna),384 kg,250,57.85,160,,,
2025/2/3,Culisi (Nemipterid),"2,181 kg",123,57.85,160,,,
2025/2/3,Galunggong (Round Scad),975 kg,200,57.85,160,,,
2025/2/3,Gulyasan or puyan (Skipjack tuna),229 kg,200,57.85,160,,,
2025/2/3,Lapu-lapu (Grouper),73 kg,280,57.85,160,,,
2025/2/3,Malasugi (Blue Marlin),829 Kg,300,57.85,160,,,
2025/2/3,Matang Baka (Big-eyed Scads),"1,685 kg",250,57.85,160,,,
2025/2/3,Maya-maya (Snapper),23 kg,350,57.85,160,,,
2025/2/3,Mulmul (Parrot Fish),17 kg,200,57.85,160,,,
2025/2/3,Samaral (Siganid),67 kg,220,57.85,160,,,
2025/2/3,Talakitok (Crevalle),91 kg,280,57.85,160,,,
2025/2/3,Tamban (Indian Sardines),"4,716 kg",100,57.85,160,,,
2025/2/3,Sting Ray,249 Kg,100,57.85,160,,,
2025/2/3,Tanguigue (Spanish Mackerel),279 Kg,300,57.85,160,,,
2025/2/3,Tulingan (Frigate Tuna),473 kg,350,57.85,160,,,
2025/2/4,Alumahan (Striped Mackerel),"1,205 kg",200,56.7,160,,,
2025/2/4,Bangus (Milk Fish),42 kg,200,56.7,160,,,
2025/2/4,Bariles (Yellow Fin Tuna),384 kg,250,56.7,160,,,
2025/2/4,Culisi (Nemipterid),"2,181 kg",123,56.7,160,,,
2025/2/4,Galunggong (Round Scad),975 kg,200,56.7,160,,,
2025/2/4,Gulyasan or puyan (Skipjack tuna),229 kg,200,56.7,160,,,
2025/2/4,Lapu-lapu (Grouper),73 kg,280,56.7,160,,,
2025/2/4,Malasugi (Blue Marlin),829 Kg,300,56.7,160,,,
2025/2/4,Matang Baka (Big-eyed Scads),"1,685 kg",250,56.7,160,,,
2025/2/4,Maya-maya (Snapper),23 kg,350,56.7,160,,,
2025/2/4,Mulmul (Parrot Fish),17 kg,200,56.7,160,,,
2025/2/4,Samaral (Siganid),67 kg,220,56.7,160,,,
2025/2/4,Talakitok (Crevalle),91 kg,280,56.7,160,,,
2025/2/4,Tamban (Indian Sardines),"4,716 kg",100,56.7,160,,,
2025/2/4,Sting Ray,249 Kg,100,56.7,160,,,
2025/2/4,Tanguigue (Spanish Mackerel),279 Kg,300,56.7,160,,,
2025/2/4,Tulingan (Frigate Tuna),473 kg,350,56.7,160,,,
2025/2/5,Alumahan (Striped Mackerel),"1,205 kg",200,56.7,160,,,
2025/2/5,Bangus (Milk Fish),42 kg,200,56.7,160,,,
2025/2/5,Bariles (Yellow Fin Tuna),384 kg,250,56.7,160,,,
2025/2/5,Culisi (Nemipterid),"2,181 kg",123,56.7,160,,,
2025/2/5,Galunggong (Round Scad),975 kg,200,56.7,160,,,
2025/2/5,Gulyasan or puyan (Skipjack tuna),229 kg,200,56.7,160,,,
2025/2/5,Lapu-lapu (Grouper),73 kg,280,56.7,160,,,
2025/2/5,Malasugi (Blue Marlin),829 Kg,300,56.7,160,,,
2025/2/5,Matang Baka (Big-eyed Scads),"1,685 kg",250,56.7,160,,,
2025/2/5,Maya-maya (Snapper),23 kg,350,56.7,160,,,
2025/2/5,Mulmul (Parrot Fish),17 kg,200,56.7,160,,,
2025/2/5,Samaral (Siganid),67 kg,220,56.7,160,,,
2025/2/5,Talakitok (Crevalle),91 kg,280,56.7,160,,,
2025/2/5,Tamban (Indian Sardines),"4,716 kg",100,56.7,160,,,
2025/2/5,Sting Ray,249 Kg,100,56.7,160,,,
2025/2/5,Tanguigue (Spanish Mackerel),279 Kg,300,56.7,160,,,
2025/2/5,Tulingan (Frigate Tuna),473 kg,350,56.7,160,,,
2025/2/6,Alumahan (Striped Mackerel),"1,205 kg",210,56.7,160,,,
2025/2/6,Bangus (Milk Fish),42 kg,210,56.7,160,,,
2025/2/6,Bariles (Yellow Fin Tuna),384 kg,260,56.7,160,,,
2025/2/6,Culisi (Nemipterid),"2,181 kg",133,56.7,160,,,
2025/2/6,Galunggong (Round Scad),975 kg,210,56.7,160,,,
2025/2/6,Gulyasan or puyan (Skipjack tuna),229 kg,210,56.7,160,,,
2025/2/6,Lapu-lapu (Grouper),73 kg,290,56.7,160,,,
2025/2/6,Malasugi (Blue Marlin),829 Kg,310,56.7,160,,,
2025/2/6,Matang Baka (Big-eyed Scads),"1,685 kg",260,56.7,160,,,
2025/2/6,Maya-maya (Snapper),23 kg,360,56.7,160,,,
2025/2/6,Mulmul (Parrot Fish),17 kg,210,56.7,160,,,
2025/2/6,Samaral (Siganid),67 kg,230,56.7,160,,,
2025/2/6,Talakitok (Crevalle),91 kg,290,56.7,160,,,
2025/2/6,Tamban (Indian Sardines),"4,716 kg",110,56.7,160,,,
2025/2/6,Sting Ray,249 Kg,110,56.7,160,,,
2025/2/6,Tanguigue (Spanish Mackerel),279 Kg,310,56.7,160,,,
2025/2/6,Tulingan (Frigate Tuna),473 kg,360,56.7,160,,,
2025/2/7,Alumahan (Striped Mackerel),"1,205 kg",210,56.7,160,,,
2025/2/7,Bangus (Milk Fish),42 kg,210,56.7,160,,,
2025/2/7,Bariles (Yellow Fin Tuna),384 kg,260,56.7,160,,,
2025/2/7,Culisi (Nemipterid),"2,181 kg",133,56.7,160,,,
2025/2/7,Galunggong (Round Scad),975 kg,210,56.7,160,,,
2025/2/7,Gulyasan or puyan (Skipjack tuna),229 kg,210,56.7,160,,,
2025/2/7,Lapu-lapu (Grouper),73 kg,290,56.7,160,,,
2025/2/7,Malasugi (Blue Marlin),829 Kg,310,56.7,160,,,
2025/2/7,Matang Baka (Big-eyed Scads),"1,685 kg",260,56.7,160,,,
2025/2/7,Maya-maya (Snapper),23 kg,360,56.7,160,,,
2025/2/7,Mulmul (Parrot Fish),17 kg,210,56.7,160,,,
2025/2/7,Samaral (Siganid),67 kg,230,56.7,160,,,
2025/2/7,Talakitok (Crevalle),91 kg,290,56.7,160,,,
2025/2/7,Tamban (Indian Sardines),"4,716 kg",110,56.7,160,,,
2025/2/7,Sting Ray,249 Kg,110,56.7,160,,,
2025/2/7,Tanguigue (Spanish Mackerel),279 Kg,310,56.7,160,,,
2025/2/7,Tulingan (Frigate Tuna),473 kg,360,56.7,160,,,
2025/2/8,Alumahan (Striped Mackerel),"1,205 kg",210,56.7,160,,,
2025/2/8,Bangus (Milk Fish),42 kg,210,56.7,160,,,
2025/2/8,Bariles (Yellow Fin Tuna),384 kg,260,56.7,160,,,
2025/2/8,Culisi (Nemipterid),"2,181 kg",133,56.7,160,,,
2025/2/8,Galunggong (Round Scad),975 kg,210,56.7,160,,,
2025/2/8,Gulyasan or puyan (Skipjack tuna),229 kg,210,56.7,160,,,
2025/2/8,Lapu-lapu (Grouper),73 kg,290,56.7,160,,,
2025/2/8,Malasugi (Blue Marlin),829 Kg,310,56.7,160,,,
2025/2/8,Matang Baka (Big-eyed Scads),"1,685 kg",260,56.7,160,,,
2025/2/8,Maya-maya (Snapper),23 kg,360,56.7,160,,,
2025/2/8,Mulmul (Parrot Fish),17 kg,210,56.7,160,,,
2025/2/8,Samaral (Siganid),67 kg,230,56.7,160,,,
2025/2/8,Talakitok (Crevalle),91 kg,290,56.7,160,,,
2025/2/8,Tamban (Indian Sardines),"4,716 kg",110,56.7,160,,,
2025/2/8,Sting Ray,249 Kg,110,56.7,160,,,
2025/2/8,Tanguigue (Spanish Mackerel),279 Kg,310,56.7,160,,,
2025/2/8,Tulingan (Frigate Tuna),473 kg,360,56.7,160,,,
2025/2/9,Alumahan (Striped Mackerel),"1,205 kg",210,56.7,160,,,
2025/2/9,Bangus (Milk Fish),42 kg,210,56.7,160,,,
2025/2/9,Bariles (Yellow Fin Tuna),384 kg,260,56.7,160,,,
2025/2/9,Culisi (Nemipterid),"2,181 kg",133,56.7,160,,,
2025/2/9,Galunggong (Round Scad),975 kg,210,56.7,160,,,
2025/2/9,Gulyasan or puyan (Skipjack tuna),229 kg,210,56.7,160,,,
2025/2/9,Lapu-lapu (Grouper),73 kg,290,56.7,160,,,
2025/2/9,Malasugi (Blue Marlin),829 Kg,310,56.7,160,,,
2025/2/9,Matang Baka (Big-eyed Scads),"1,685 kg",260,56.7,160,,,
2025/2/9,Maya-maya (Snapper),23 kg,360,56.7,160,,,
2025/2/9,Mulmul (Parrot Fish),17 kg,210,56.7,160,,,
2025/2/9,Samaral (Siganid),67 kg,230,56.7,160,,,
2025/2/9,Talakitok (Crevalle),91 kg,290,56.7,160,,,
2025/2/9,Tamban (Indian Sardines),"4,716 kg",110,56.7,160,,,
2025/2/9,Sting Ray,249 Kg,110,56.7,160,,,
2025/2/9,Tanguigue (Spanish Mackerel),279 Kg,310,56.7,160,,,
2025/2/9,Tulingan (Frigate Tuna),473 kg,360,56.7,160,,,
2025/2/10,Alumahan (Striped Mackerel),"1,205 kg",210,56.7,160,,,
2025/2/10,Bangus (Milk Fish),42 kg,210,56.7,160,,,
2025/2/10,Bariles (Yellow Fin Tuna),384 kg,260,56.7,160,,,
2025/2/10,Culisi (Nemipterid),"2,181 kg",133,56.7,160,,,
2025/2/10,Galunggong (Round Scad),975 kg,210,56.7,160,,,
2025/2/10,Gulyasan or puyan (Skipjack tuna),229 kg,210,56.7,160,,,
2025/2/10,Lapu-lapu (Grouper),73 kg,290,56.7,160,,,
2025/2/10,Malasugi (Blue Marlin),829 Kg,310,56.7,160,,,
2025/2/10,Matang Baka (Big-eyed Scads),"1,685 kg",260,56.7,160,,,
2025/2/10,Maya-maya (Snapper),23 kg,360,56.7,160,,,
2025/2/10,Mulmul (Parrot Fish),17 kg,210,56.7,160,,,
2025/2/10,Samaral (Siganid),67 kg,230,56.7,160,,,
2025/2/10,Talakitok (Crevalle),91 kg,290,56.7,160,,,
2025/2/10,Tamban (Indian Sardines),"4,716 kg",110,56.7,160,,,
2025/2/10,Sting Ray,249 Kg,110,56.7,160,,,
2025/2/10,Tanguigue (Spanish Mackerel),279 Kg,310,56.7,160,,,
2025/2/10,Tulingan (Frigate Tuna),473 kg,360,56.7,160,,,
2025/2/11,Alumahan (Striped Mackerel),"1,205 kg",190,58.6,160,,,
2025/2/11,Bangus (Milk Fish),42 kg,190,58.6,160,,,
2025/2/11,Bariles (Yellow Fin Tuna),384 kg,240,58.6,160,,,
2025/2/11,Culisi (Nemipterid),"2,181 kg",113,58.6,160,,,
2025/2/11,Galunggong (Round Scad),975 kg,190,58.6,160,,,
2025/2/11,Gulyasan or puyan (Skipjack tuna),229 kg,190,58.6,160,,,
2025/2/11,Lapu-lapu (Grouper),73 kg,270,58.6,160,,,
2025/2/11,Malasugi (Blue Marlin),829 Kg,290,58.6,160,,,
2025/2/11,Matang Baka (Big-eyed Scads),"1,685 kg",240,58.6,160,,,
2025/2/11,Maya-maya (Snapper),23 kg,340,58.6,160,,,
2025/2/11,Mulmul (Parrot Fish),17 kg,190,58.6,160,,,
2025/2/11,Samaral (Siganid),67 kg,210,58.6,160,,,
2025/2/11,Talakitok (Crevalle),91 kg,270,58.6,160,,,
2025/2/11,Tamban (Indian Sardines),"4,716 kg",90,58.6,160,,,
2025/2/11,Sting Ray,249 Kg,90,58.6,160,,,
2025/2/11,Tanguigue (Spanish Mackerel),279 Kg,290,58.6,160,,,
2025/2/11,Tulingan (Frigate Tuna),473 kg,340,58.6,160,,,
2025/2/12,Alumahan (Striped Mackerel),"1,205 kg",190,58.6,160,,,
2025/2/12,Bangus (Milk Fish),42 kg,190,58.6,160,,,
2025/2/12,Bariles (Yellow Fin Tuna),384 kg,240,58.6,160,,,
2025/2/12,Culisi (Nemipterid),"2,181 kg",113,58.6,160,,,
2025/2/12,Galunggong (Round Scad),975 kg,190,58.6,160,,,
2025/2/12,Gulyasan or puyan (Skipjack tuna),229 kg,190,58.6,160,,,
2025/2/12,Lapu-lapu (Grouper),73 kg,270,58.6,160,,,
2025/2/12,Malasugi (Blue Marlin),829 Kg,290,58.6,160,,,
2025/2/12,Matang Baka (Big-eyed Scads),"1,685 kg",240,58.6,160,,,
2025/2/12,Maya-maya (Snapper),23 kg,340,58.6,160,,,
2025/2/12,Mulmul (Parrot Fish),17 kg,190,58.6,160,,,
2025/2/12,Samaral (Siganid),67 kg,210,58.6,160,,,
2025/2/12,Talakitok (Crevalle),91 kg,270,58.6,160,,,
