Date,Fish_Type,Supply_Kg,Price_Per_Kg,Fuel_price,Ice_price_per_block
2024/1/5,Malasugi (Blue Marlin),829 Kg,250,59.15,160
2024/1/5,Matang Baka (Big-eyed Scads),"25,066 Kg",164,59.15,160
2024/1/5,Maya-maya (Snapper),484 Kg,300,59.15,160
2024/1/5,Mulmul (Parrot Fish),378 Kg,191,59.15,160
2024/1/5,Samaral (Siganid),596 Kg,275,59.15,160
2024/1/5,Talakitok (Crevalle),"1,233 Kg",235,59.15,160
2024/1/5,Tamban (Indian Sardines),"5,363 Kg",70,59.15,160
2024/1/5,Sting Ray,249 Kg,90,59.15,160
2024/1/5,Tanguigue (Spanish Mackerel),279 Kg,300,59.15,160
2024/1/5,Tulingan (Frigate Tuna),"1,236 Kg",203,59.15,160
2024/1/6,Alumahan (Striped Mackerel),"1,776 Kg",146,59.15,160
2024/1/6,Bangus (Milk Fish),"101,326 Kg",190,59.15,160
2024/1/6,Bariles (Yellow Fin Tuna),345 Kg,214,59.15,160
2024/1/6,Culisi (Nemipterid),"2,181 Kg",120,59.15,160
2024/1/6,Galunggong (Round Scad),"5,296 Kg",122,59.15,160
2024/1/6,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",133,59.15,160
2024/1/6,Lapu-lapu (Grouper),524 Kg,288,59.15,160
2024/1/6,Malasugi (Blue Marlin),829 Kg,250,59.15,160
2024/1/6,Matang Baka (Big-eyed Scads),"25,066 Kg",162,59.15,160
2024/1/6,Maya-maya (Snapper),484 Kg,300,59.15,160
2024/1/6,Mulmul (Parrot Fish),378 Kg,188,59.15,160
2024/1/6,Samaral (Siganid),596 Kg,265,59.15,160
2024/1/6,Talakitok (Crevalle),"1,233 Kg",243,59.15,160
2024/1/6,Tamban (Indian Sardines),"5,363 Kg",70,59.15,160
2024/1/6,Sting Ray,249 Kg,93,59.15,160
2024/1/6,Tanguigue (Spanish Mackerel),279 Kg,306,59.15,160
2024/1/6,Tulingan (Frigate Tuna),"1,236 Kg",201,59.15,160
2024/1/7,Alumahan (Striped Mackerel),"1,776 Kg",140,59.15,160
2024/1/7,Bangus (Milk Fish),"101,326 Kg",182,59.15,160
2024/1/7,Bariles (Yellow Fin Tuna),345 Kg,210,59.15,160
2024/1/7,Culisi (Nemipterid),"2,181 Kg",120,59.15,160
2024/1/7,Galunggong (Round Scad),"5,296 Kg",119,59.15,160
2024/1/7,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",135,59.15,160
2024/1/7,Lapu-lapu (Grouper),524 Kg,293,59.15,160
2024/1/7,Malasugi (Blue Marlin),829 Kg,250,59.15,160
2024/1/7,Matang Baka (Big-eyed Scads),"25,066 Kg",160,59.15,160
2024/1/7,Maya-maya (Snapper),484 Kg,300,59.15,160
2024/1/7,Mulmul (Parrot Fish),378 Kg,185,59.15,160
2024/1/7,Samaral (Siganid),596 Kg,255,59.15,160
2024/1/7,Talakitok (Crevalle),"1,233 Kg",250,59.15,160
2024/1/7,Tamban (Indian Sardines),"5,363 Kg",70,59.15,160
2024/1/7,Sting Ray,249 Kg,95,59.15,160
2024/1/7,Tanguigue (Spanish Mackerel),279 Kg,313,59.15,160
2024/1/7,Tulingan (Frigate Tuna),"1,236 Kg",198,59.15,160
2024/1/8,Alumahan (Striped Mackerel),"1,776 Kg",135,59.15,160
2024/1/8,Bangus (Milk Fish),"101,326 Kg",175,59.15,160
2024/1/8,Bariles (Yellow Fin Tuna),345 Kg,206,59.15,160
2024/1/8,Culisi (Nemipterid),"2,181 Kg",120,59.15,160
2024/1/8,Galunggong (Round Scad),"5,296 Kg",116,59.15,160
2024/1/8,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",138,59.15,160
2024/1/8,Lapu-lapu (Grouper),524 Kg,298,59.15,160
2024/1/8,Malasugi (Blue Marlin),829 Kg,250,59.15,160
2024/1/8,Matang Baka (Big-eyed Scads),"25,066 Kg",158,59.15,160
2024/1/8,Maya-maya (Snapper),484 Kg,300,59.15,160
2024/1/8,Mulmul (Parrot Fish),378 Kg,182,59.15,160
2024/1/8,Samaral (Siganid),596 Kg,245,59.15,160
2024/1/8,Talakitok (Crevalle),"1,233 Kg",258,59.15,160
2024/1/8,Tamban (Indian Sardines),"5,363 Kg",70,59.15,160
2024/1/8,Sting Ray,249 Kg,98,59.15,160
2024/1/8,Tanguigue (Spanish Mackerel),279 Kg,319,59.15,160
2024/1/8,Tulingan (Frigate Tuna),"1,236 Kg",196,59.15,160
2024/1/9,Alumahan (Striped Mackerel),"1,776 Kg",130,59.8,160
2024/1/9,Bangus (Milk Fish),"101,326 Kg",167,59.8,160
2024/1/9,Bariles (Yellow Fin Tuna),345 Kg,201,59.8,160
2024/1/9,Culisi (Nemipterid),"2,181 Kg",120,59.8,160
2024/1/9,Galunggong (Round Scad),"5,296 Kg",113,59.8,160
2024/1/9,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",140,59.8,160
2024/1/9,Lapu-lapu (Grouper),524 Kg,303,59.8,160
2024/1/9,Malasugi (Blue Marlin),829 Kg,250,59.8,160
2024/1/9,Matang Baka (Big-eyed Scads),"25,066 Kg",156,59.8,160
2024/1/9,Maya-maya (Snapper),484 Kg,300,59.8,160
2024/1/9,Mulmul (Parrot Fish),378 Kg,178,59.8,160
2024/1/9,Samaral (Siganid),596 Kg,235,59.8,160
2024/1/9,Talakitok (Crevalle),"1,233 Kg",265,59.8,160
2024/1/9,Tamban (Indian Sardines),"5,363 Kg",70,59.8,160
2024/1/9,Sting Ray,249 Kg,100,59.8,160
2024/1/9,Tanguigue (Spanish Mackerel),279 Kg,325,59.8,160
2024/1/9,Tulingan (Frigate Tuna),"1,236 Kg",193,59.8,160
2024/1/10,Alumahan (Striped Mackerel),"1,776 Kg",131,59.8,160
2024/1/10,Bangus (Milk Fish),"101,326 Kg",173,59.8,160
2024/1/10,Bariles (Yellow Fin Tuna),345 Kg,201,59.8,160
2024/1/10,Culisi (Nemipterid),"2,181 Kg",120,59.8,160
2024/1/10,Galunggong (Round Scad),"5,296 Kg",126,59.8,160
2024/1/10,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",143,59.8,160
2024/1/10,Lapu-lapu (Grouper),524 Kg,289,59.8,160
2024/1/10,Malasugi (Blue Marlin),829 Kg,235,59.8,160
2024/1/10,Matang Baka (Big-eyed Scads),"25,066 Kg",161,59.8,160
2024/1/10,Maya-maya (Snapper),484 Kg,300,59.8,160
2024/1/10,Mulmul (Parrot Fish),378 Kg,182,59.8,160
2024/1/10,Samaral (Siganid),596 Kg,240,59.8,160
2024/1/10,Talakitok (Crevalle),"1,233 Kg",250,59.8,160
2024/1/10,Tamban (Indian Sardines),"5,363 Kg",70,59.8,160
2024/1/10,Sting Ray,249 Kg,100,59.8,160
2024/1/10,Tanguigue (Spanish Mackerel),279 Kg,300,59.8,160
2024/1/10,Tulingan (Frigate Tuna),"1,236 Kg",187,59.8,160
2024/1/11,Alumahan (Striped Mackerel),"1,776 Kg",131,59.8,160
2024/1/11,Bangus (Milk Fish),"101,326 Kg",179,59.8,160
2024/1/11,Bariles (Yellow Fin Tuna),345 Kg,201,59.8,160
2024/1/11,Culisi (Nemipterid),"2,181 Kg",120,59.8,160
2024/1/11,Galunggong (Round Scad),"5,296 Kg",140,59.8,160
2024/1/11,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",145,59.8,160
2024/1/11,Lapu-lapu (Grouper),524 Kg,275,59.8,160
2024/1/11,Malasugi (Blue Marlin),829 Kg,220,59.8,160
2024/1/11,Matang Baka (Big-eyed Scads),"25,066 Kg",167,59.8,160
2024/1/11,Maya-maya (Snapper),484 Kg,300,59.8,160
2024/1/11,Mulmul (Parrot Fish),378 Kg,185,59.8,160
2024/1/11,Samaral (Siganid),596 Kg,245,59.8,160
2024/1/11,Talakitok (Crevalle),"1,233 Kg",235,59.8,160
2024/1/11,Tamban (Indian Sardines),"5,363 Kg",70,59.8,160
2024/1/11,Sting Ray,249 Kg,100,59.8,160
2024/1/11,Tanguigue (Spanish Mackerel),279 Kg,275,59.8,160
2024/1/11,Tulingan (Frigate Tuna),"1,236 Kg",180,59.8,160
2024/1/12,Alumahan (Striped Mackerel),"1,776 Kg",139,59.8,160
2024/1/12,Bangus (Milk Fish),"101,326 Kg",183,59.8,160
2024/1/12,Bariles (Yellow Fin Tuna),345 Kg,204,59.8,160
2024/1/12,Culisi (Nemipterid),"2,181 Kg",122,59.8,160
2024/1/12,Galunggong (Round Scad),"5,296 Kg",145,59.8,160
2024/1/12,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",154,59.8,160
2024/1/12,Lapu-lapu (Grouper),524 Kg,280,59.8,160
2024/1/12,Malasugi (Blue Marlin),829 Kg,231,59.8,160
2024/1/12,Matang Baka (Big-eyed Scads),"25,066 Kg",173,59.8,160
2024/1/12,Maya-maya (Snapper),484 Kg,305,59.8,160
2024/1/12,Mulmul (Parrot Fish),378 Kg,190,59.8,160
2024/1/12,Samaral (Siganid),596 Kg,251,59.8,160
2024/1/12,Talakitok (Crevalle),"1,233 Kg",240,59.8,160
2024/1/12,Tamban (Indian Sardines),"5,363 Kg",72,59.8,160
2024/1/12,Sting Ray,249 Kg,100,59.8,160
2024/1/12,Tanguigue (Spanish Mackerel),279 Kg,281,59.8,160
2024/1/12,Tulingan (Frigate Tuna),"1,236 Kg",182,59.8,160
2024/1/13,Alumahan (Striped Mackerel),"1,776 Kg",147,59.8,160
2024/1/13,Bangus (Milk Fish),"101,326 Kg",186,59.8,160
2024/1/13,Bariles (Yellow Fin Tuna),345 Kg,207,59.8,160
2024/1/13,Culisi (Nemipterid),"2,181 Kg",124,59.8,160
2024/1/13,Galunggong (Round Scad),"5,296 Kg",150,59.8,160
2024/1/13,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",163,59.8,160
2024/1/13,Lapu-lapu (Grouper),524 Kg,284,59.8,160
2024/1/13,Malasugi (Blue Marlin),829 Kg,242,59.8,160
2024/1/13,Matang Baka (Big-eyed Scads),"25,066 Kg",180,59.8,160
2024/1/13,Maya-maya (Snapper),484 Kg,310,59.8,160
2024/1/13,Mulmul (Parrot Fish),378 Kg,194,59.8,160
2024/1/13,Samaral (Siganid),596 Kg,257,59.8,160
2024/1/13,Talakitok (Crevalle),"1,233 Kg",245,59.8,160
2024/1/13,Tamban (Indian Sardines),"5,363 Kg",74,59.8,160
2024/1/13,Sting Ray,249 Kg,100,59.8,160
2024/1/13,Tanguigue (Spanish Mackerel),279 Kg,287,59.8,160
2024/1/13,Tulingan (Frigate Tuna),"1,236 Kg",183,59.8,160
2024/1/14,Alumahan (Striped Mackerel),"1,776 Kg",155,59.8,160
2024/1/14,Bangus (Milk Fish),"101,326 Kg",190,59.8,160
2024/1/14,Bariles (Yellow Fin Tuna),345 Kg,210,59.8,160
2024/1/14,Culisi (Nemipterid),"2,181 Kg",126,59.8,160
2024/1/14,Galunggong (Round Scad),"5,296 Kg",155,59.8,160
2024/1/14,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",172,59.8,160
2024/1/14,Lapu-lapu (Grouper),524 Kg,289,59.8,160
2024/1/14,Malasugi (Blue Marlin),829 Kg,253,59.8,160
2024/1/14,Matang Baka (Big-eyed Scads),"25,066 Kg",186,59.8,160
2024/1/14,Maya-maya (Snapper),484 Kg,315,59.8,160
2024/1/14,Mulmul (Parrot Fish),378 Kg,199,59.8,160
2024/1/14,Samaral (Siganid),596 Kg,263,59.8,160
2024/1/14,Talakitok (Crevalle),"1,233 Kg",250,59.8,160
2024/1/14,Tamban (Indian Sardines),"5,363 Kg",76,59.8,160
2024/1/14,Sting Ray,249 Kg,100,59.8,160
2024/1/14,Tanguigue (Spanish Mackerel),279 Kg,293,59.8,160
2024/1/14,Tulingan (Frigate Tuna),"1,236 Kg",185,59.8,160
2024/1/15,Alumahan (Striped Mackerel),"1,776 Kg",163,59.8,160
2024/1/15,Bangus (Milk Fish),"101,326 Kg",194,59.8,160
2024/1/15,Bariles (Yellow Fin Tuna),345 Kg,213,59.8,160
2024/1/15,Culisi (Nemipterid),"2,181 Kg",128,59.8,160
2024/1/15,Galunggong (Round Scad),"5,296 Kg",160,59.8,160
2024/1/15,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",181,59.8,160
2024/1/15,Lapu-lapu (Grouper),524 Kg,293,59.8,160
2024/1/15,Malasugi (Blue Marlin),829 Kg,264,59.8,160
2024/1/15,Matang Baka (Big-eyed Scads),"25,066 Kg",192,59.8,160
2024/1/15,Maya-maya (Snapper),484 Kg,320,59.8,160
2024/1/15,Mulmul (Parrot Fish),378 Kg,203,59.8,160
2024/1/15,Samaral (Siganid),596 Kg,269,59.8,160
2024/1/15,Talakitok (Crevalle),"1,233 Kg",255,59.8,160
2024/1/15,Tamban (Indian Sardines),"5,363 Kg",77,59.8,160
2024/1/15,Sting Ray,249 Kg,100,59.8,160
2024/1/15,Tanguigue (Spanish Mackerel),279 Kg,299,59.8,160
2024/1/15,Tulingan (Frigate Tuna),"1,236 Kg",187,59.8,160
2024/1/16,Alumahan (Striped Mackerel),"1,776 Kg",171,59.4,160
2024/1/16,Bangus (Milk Fish),"101,326 Kg",198,59.4,160
