Date,Fish_Type,Supply_Kg,Price_Per_Kg,Fuel_price,Ice_price_per_block
2024/1/23,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",145,60.7,160
2024/1/23,Lapu-lapu (Grouper),524 Kg,255,60.7,160
2024/1/23,Malasugi (Blue Marlin),829 Kg,340,60.7,160
2024/1/23,Matang Baka (Big-eyed Scads),"25,066 Kg",217,60.7,160
2024/1/23,Maya-maya (Snapper),484 Kg,290,60.7,160
2024/1/23,Mulmul (Parrot Fish),378 Kg,214,60.7,160
2024/1/23,Samaral (Siganid),596 Kg,215,60.7,160
2024/1/23,Talakitok (Crevalle),"1,233 Kg",265,60.7,160
2024/1/23,Tamban (Indian Sardines),"5,363 Kg",80,60.7,160
2024/1/23,Sting Ray,249 Kg,90,60.7,160
2024/1/23,Tanguigue (Spanish Mackerel),279 Kg,300,60.7,160
2024/1/23,Tulingan (Frigate Tuna),"1,236 Kg",184,60.7,160
2024/1/24,Alumahan (Striped Mackerel),"1,776 Kg",168,60.7,160
2024/1/24,Bangus (Milk Fish),"101,326 Kg",207,60.7,160
2024/1/24,Bariles (Yellow Fin Tuna),345 Kg,215,60.7,160
2024/1/24,Culisi (Nemipterid),"2,181 Kg",127,60.7,160
2024/1/24,Galunggong (Round Scad),"5,296 Kg",148,60.7,160
2024/1/24,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",155,60.7,160
2024/1/24,Lapu-lapu (Grouper),524 Kg,239,60.7,160
2024/1/24,Malasugi (Blue Marlin),829 Kg,307,60.7,160
2024/1/24,Matang Baka (Big-eyed Scads),"25,066 Kg",236,60.7,160
2024/1/24,Maya-maya (Snapper),484 Kg,302,60.7,160
2024/1/24,Mulmul (Parrot Fish),378 Kg,213,60.7,160
2024/1/24,Samaral (Siganid),596 Kg,232,60.7,160
2024/1/24,Talakitok (Crevalle),"1,233 Kg",257,60.7,160
2024/1/24,Tamban (Indian Sardines),"5,363 Kg",85,60.7,160
2024/1/24,Sting Ray,249 Kg,92,60.7,160
2024/1/24,Tanguigue (Spanish Mackerel),279 Kg,297,60.7,160
2024/1/24,Tulingan (Frigate Tuna),"1,236 Kg",178,60.7,160
2024/1/25,Alumahan (Striped Mackerel),"1,776 Kg",170,60.7,160
2024/1/25,Bangus (Milk Fish),"101,326 Kg",203,60.7,160
2024/1/25,Bariles (Yellow Fin Tuna),345 Kg,208,60.7,160
2024/1/25,Culisi (Nemipterid),"2,181 Kg",125,60.7,160
2024/1/25,Galunggong (Round Scad),"5,296 Kg",152,60.7,160
2024/1/25,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",165,60.7,160
2024/1/25,Lapu-lapu (Grouper),524 Kg,223,60.7,160
2024/1/25,Malasugi (Blue Marlin),829 Kg,273,60.7,160
2024/1/25,Matang Baka (Big-eyed Scads),"25,066 Kg",255,60.7,160
2024/1/25,Maya-maya (Snapper),484 Kg,313,60.7,160
2024/1/25,Mulmul (Parrot Fish),378 Kg,212,60.7,160
2024/1/25,Samaral (Siganid),596 Kg,248,60.7,160
2024/1/25,Talakitok (Crevalle),"1,233 Kg",248,60.7,160
2024/1/25,Tamban (Indian Sardines),"5,363 Kg",90,60.7,160
2024/1/25,Sting Ray,249 Kg,93,60.7,160
2024/1/25,Tanguigue (Spanish Mackerel),279 Kg,293,60.7,160
2024/1/25,Tulingan (Frigate Tuna),"1,236 Kg",173,60.7,160
2024/1/26,Alumahan (Striped Mackerel),"1,776 Kg",173,60.7,160
2024/1/26,Bangus (Milk Fish),"101,326 Kg",199,60.7,160
2024/1/26,Bariles (Yellow Fin Tuna),345 Kg,201,60.7,160
2024/1/26,Culisi (Nemipterid),"2,181 Kg",122,60.7,160
2024/1/26,Galunggong (Round Scad),"5,296 Kg",170,60.7,160
2024/1/26,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",175,60.7,160
2024/1/26,Lapu-lapu (Grouper),524 Kg,208,60.7,160
2024/1/26,Malasugi (Blue Marlin),829 Kg,240,60.7,160
2024/1/26,Matang Baka (Big-eyed Scads),"25,066 Kg",273,60.7,160
2024/1/26,Maya-maya (Snapper),484 Kg,286,60.7,160
2024/1/26,Mulmul (Parrot Fish),378 Kg,211,60.7,160
2024/1/26,Samaral (Siganid),596 Kg,301,60.7,160
2024/1/26,Talakitok (Crevalle),"1,233 Kg",240,60.7,160
2024/1/26,Tamban (Indian Sardines),"5,363 Kg",80,60.7,160
2024/1/26,Sting Ray,249 Kg,95,60.7,160
2024/1/26,Tanguigue (Spanish Mackerel),279 Kg,258,60.7,160
2024/1/26,Tulingan (Frigate Tuna),"1,236 Kg",167,60.7,160
2024/1/27,Alumahan (Striped Mackerel),"1,776 Kg",174,60.7,160
2024/1/27,Bangus (Milk Fish),"101,326 Kg",204,60.7,160
2024/1/27,Bariles (Yellow Fin Tuna),345 Kg,206,60.7,160
2024/1/27,Culisi (Nemipterid),"2,181 Kg",127,60.7,160
2024/1/27,Galunggong (Round Scad),"5,296 Kg",174,60.7,160
2024/1/27,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",175,60.7,160
2024/1/27,Lapu-lapu (Grouper),524 Kg,262,60.7,160
2024/1/27,Malasugi (Blue Marlin),829 Kg,268,60.7,160
2024/1/27,Matang Baka (Big-eyed Scads),"25,066 Kg",257,60.7,160
2024/1/27,Maya-maya (Snapper),484 Kg,289,60.7,160
2024/1/27,Mulmul (Parrot Fish),378 Kg,214,60.7,160
2024/1/27,Samaral (Siganid),596 Kg,297,60.7,160
2024/1/27,Talakitok (Crevalle),"1,233 Kg",248,60.7,160
2024/1/27,Tamban (Indian Sardines),"5,363 Kg",81,60.7,160
2024/1/27,Sting Ray,249 Kg,94,60.7,160
2024/1/27,Tanguigue (Spanish Mackerel),279 Kg,262,60.7,160
2024/1/27,Tulingan (Frigate Tuna),"1,236 Kg",168,60.7,160
2024/1/28,Alumahan (Striped Mackerel),"1,776 Kg",176,60.7,160
2024/1/28,Bangus (Milk Fish),"101,326 Kg",209,60.7,160
2024/1/28,Bariles (Yellow Fin Tuna),345 Kg,211,60.7,160
2024/1/28,Culisi (Nemipterid),"2,181 Kg",131,60.7,160
2024/1/28,Galunggong (Round Scad),"5,296 Kg",178,60.7,160
2024/1/28,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",175,60.7,160
2024/1/28,Lapu-lapu (Grouper),524 Kg,316,60.7,160
2024/1/28,Malasugi (Blue Marlin),829 Kg,295,60.7,160
2024/1/28,Matang Baka (Big-eyed Scads),"25,066 Kg",241,60.7,160
2024/1/28,Maya-maya (Snapper),484 Kg,291,60.7,160
2024/1/28,Mulmul (Parrot Fish),378 Kg,217,60.7,160
2024/1/28,Samaral (Siganid),596 Kg,293,60.7,160
2024/1/28,Talakitok (Crevalle),"1,233 Kg",255,60.7,160
2024/1/28,Tamban (Indian Sardines),"5,363 Kg",82,60.7,160
2024/1/28,Sting Ray,249 Kg,92,60.7,160
2024/1/28,Tanguigue (Spanish Mackerel),279 Kg,265,60.7,160
2024/1/28,Tulingan (Frigate Tuna),"1,236 Kg",169,60.7,160
2024/1/29,Alumahan (Striped Mackerel),"1,776 Kg",178,60.7,160
2024/1/29,Bangus (Milk Fish),"101,326 Kg",215,60.7,160
2024/1/29,Bariles (Yellow Fin Tuna),345 Kg,216,60.7,160
2024/1/29,Culisi (Nemipterid),"2,181 Kg",136,60.7,160
2024/1/29,Galunggong (Round Scad),"5,296 Kg",183,60.7,160
2024/1/29,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",175,60.7,160
2024/1/29,Lapu-lapu (Grouper),524 Kg,371,60.7,160
2024/1/29,Malasugi (Blue Marlin),829 Kg,323,60.7,160
2024/1/29,Matang Baka (Big-eyed Scads),"25,066 Kg",225,60.7,160
2024/1/29,Maya-maya (Snapper),484 Kg,294,60.7,160
2024/1/29,Mulmul (Parrot Fish),378 Kg,220,60.7,160
2024/1/29,Samaral (Siganid),596 Kg,289,60.7,160
2024/1/29,Talakitok (Crevalle),"1,233 Kg",263,60.7,160
2024/1/29,Tamban (Indian Sardines),"5,363 Kg",82,60.7,160
2024/1/29,Sting Ray,249 Kg,90,60.7,160
2024/1/29,Tanguigue (Spanish Mackerel),279 Kg,269,60.7,160
2024/1/29,Tulingan (Frigate Tuna),"1,236 Kg",170,60.7,160
2024/1/30,Alumahan (Striped Mackerel),"1,776 Kg",179,63.6,160
2024/1/30,Bangus (Milk Fish),"101,326 Kg",220,63.6,160
2024/1/30,Bariles (Yellow Fin Tuna),345 Kg,221,63.6,160
2024/1/30,Culisi (Nemipterid),"2,181 Kg",149,63.6,160
2024/1/30,Galunggong (Round Scad),"5,296 Kg",187,63.6,160
2024/1/30,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",175,63.6,160
2024/1/30,Lapu-lapu (Grouper),524 Kg,405,63.6,160
2024/1/30,Malasugi (Blue Marlin),829 Kg,350,63.6,160
2024/1/30,Matang Baka (Big-eyed Scads),"25,066 Kg",209,63.6,160
2024/1/30,Maya-maya (Snapper),484 Kg,296,63.6,160
2024/1/30,Mulmul (Parrot Fish),378 Kg,223,63.6,160
2024/1/30,Samaral (Siganid),596 Kg,285,63.6,160
2024/1/30,Talakitok (Crevalle),"1,233 Kg",204,63.6,160
2024/1/30,Tamban (Indian Sardines),"5,363 Kg",83,63.6,160
2024/1/30,Sting Ray,249 Kg,89,63.6,160
2024/1/30,Tanguigue (Spanish Mackerel),279 Kg,272,63.6,160
2024/1/30,Tulingan (Frigate Tuna),"1,236 Kg",170,63.6,160
,,,,,
, ,,,,
